"","site","site.name","size.class","area.m2","flowercover.pooled","flowerover.mean","flowerdiv","hanski.connectivity","nn.distance","Sh250","Sh500","nat250","nat500","forest250","forest500","arable250","arable500"
"1","1","MUEH","l",51395,64.8,10.8,29,43895.3,61,1.21,1.17,0.53,0.52,0.01,0.02,0.41,0.43
"2","2","HUHN","l",38776,59.5,9.9,54,85978.5,55,1.35,1.37,0.32,0.38,0.22,0.28,0.46,0.34
"3","3","ELLE","l",35856,102.4,17.1,55,13505.4,337,1.43,1.28,0.52,0.19,0.2,0.4,0.28,0.4
"4","4","ASCH","l",29400,122.7,20.5,38,25911.2,1143,1.01,1.03,0.33,0.17,0.02,0.09,0.64,0.71
"5","5","MACK","l",19440,87.8,14.6,56,18429.8,663,1.02,0.88,0.24,0.06,0.23,0.43,0.53,0.51
"6","6","LENG","l",16000,83.9,14,34,5017.3,1300,1.06,0.89,0.1,0.05,0.5,0.55,0.4,0.41
"7","7","TIEF","l",12600,40,6.7,51,14259.4,774,1.16,0.98,0.21,0.11,0.5,0.59,0.29,0.3
"8","8","DEHN","l",11528,70.4,11.7,40,16703.6,394,1.38,1.27,0.41,0.32,0.16,0.05,0.39,0.52
"9","9","BURG","m",7887,86.8,14.5,53,4972.8,543,0.88,0.77,0.06,0.02,0.42,0.46,0.52,0.52
"10","10","OSSE","m",7420,59.9,10,46,14643,1274,0.93,1,0.17,0.07,0.09,0.25,0.69,0.63
"11","11","GRAB","m",6862,70.5,11.8,37,16587,214,0.86,1.3,0.2,0.14,0.08,0.17,0.72,0.52
"12","12","HACK","m",6338,112,18.7,46,27965.7,122,1.45,1.65,0.52,0.4,0.2,0.22,0.14,0.29
"13","13","GLAD","m",4964,72.5,12.1,37,11136.7,80,1.25,1.39,0.35,0.4,0.55,0.36,0.11,0.21
"14","14","RIES","m",4526,83.3,13.9,42,17346.2,122,1.19,0.97,0.24,0.15,0.22,0.19,0.54,0.66
"15","15","KNUE","m",3843,73.1,12.2,56,9545.1,488,1.07,0.95,0.14,0.15,0.37,0.24,0.49,0.61
"16","16","ROT","m",3760,58.2,9.7,56,24641.9,410,1.21,1.37,0.3,0.27,0.48,0.49,0.22,0.21
"17","17","KUH","m",3207,82.6,13.8,37,28531.8,487,1.19,0.96,0.35,0.24,0.14,0.12,0.51,0.64
"18","18","WEIN","m",2444,83.8,14,42,18382.7,170,1.23,1.18,0.12,0.1,0.45,0.51,0.36,0.35
"19","19","SCHW","m",2287,61.3,10.2,38,2051.2,1894,1.36,1.33,0.36,0.15,0.01,0.09,0.36,0.43
"20","20","ESCH","m",1914,81.7,13.6,40,6804.1,130,1.33,1.19,0.58,0.21,0.32,0.25,0.1,0.54
"21","21","EMME","m",1326,45.2,7.5,47,25323.6,451,1.26,1.09,0.29,0.13,0.47,0.58,0.24,0.27
"22","22","GIES","s",1133,71.3,11.9,48,6004.6,775,0.98,1.19,0.28,0.21,0.04,0.17,0.67,0.59
"23","23","HEIK","s",1123,37.7,6.3,37,17704.4,60,1.21,1.12,0.22,0.23,0.45,0.5,0.34,0.27
"24","24","HOPF","s",920,47.3,7.9,36,40712.5,550,1.03,0.96,0.1,0.08,0.55,0.49,0.35,0.43
"25","25","KLMU","s",775,55.6,9.3,30,78739.7,123,0.95,1,0.52,0.55,0,0,0.48,0.43
"26","26","KLEE","s",661,53.2,8.9,32,31984.9,576,1.56,1.51,0.33,0.34,0.34,0.21,0.21,0.29
"27","27","ZIPF","s",493,42,7,32,25752.6,214,0.95,1.11,0.09,0.15,0.38,0.37,0.53,0.48
"28","28","LIES","s",489,59.9,10,35,14611.6,710,0.44,0.46,0.01,0,0.13,0.16,0.86,0.84
"29","29","NIED","s",459,82.2,13.7,32,30468.6,1054,0.09,0.06,0,0,0.01,0.01,0.99,0.99
"30","30","DAHL","s",437,109.3,18.2,28,20084,565,1.38,1.38,0.11,0.13,0.45,0.48,0.08,0.22
"31","31","STAP","s",329,30.3,5,24,15487.6,1428,0.59,0.55,0.01,0.05,0.22,0.11,0.77,0.84
"32","32","LIND","s",314,65.3,10.9,30,20480.4,325,1.24,1.06,0.3,0.19,0.34,0.23,0.35,0.57
